NodeId,SpeakerId,Text
N001,MC,오늘은 학교 축제가 열리는 날이다.
N002,YUNA,왔구나! 오늘 부스 좀 도와줄래?
N003,MINJI,"어, 주인공! 사진전 준비 도와줄 수 있어?"
N004,JIHOO,"야, 먹거리 부스 줄 같이 서자."
N005,MC,누구를 먼저 도와줄까?
N006,YUNA,풍선 좀 묶어줄래?
N007,MC,풍선을 묶으며 유나와 눈이 마주쳤다.
N008,YUNA,이제 어디로 갈까?
N009,MC,유나와 계속 함께 시간을 보냈다.
N010,MINJI,조명 각도 좀 잡아줄래?
N011,MC,민지와 함께 포토존을 꾸몄다.
N012,MINJI,포토존 콘셉트는 어떤 게 좋을까?
N013,MC,레트로 소품으로 꾸몄다.
N014,MC,화사한 분위기를 만들었다.
N015,JIHOO,타코야키 먹자!
N016,MC,지후랑 같이 먹으면서 잡담을 나눴다.
N017,JIHOO,이제 어디로 갈래?
N018,MC,지후와 농구 코트를 갔다.
N020,MC,"축제의 클라이맥스, 누구와 함께할까?"
END_A,YUNA,"오늘 하루, 달콤한 추억이 되었다. (유나 엔딩)"
END_B,MINJI,사진 속 미소처럼 선명히 남았다. (민지 엔딩)
END_C,JIHOO,웃음소리와 함께 축제는 막을 내렸다. (지후 엔딩)
